Player,Age,Team,Pos,GP,ATOI,G,A,PTS,S,SV,SavePer,FloStrength,Value,yearID,PlusMinus
Stefan Matteau,25,CBJ,LW,9,12.37,2,1,3,18,NA,NA,-0.832,-0.24,2020,0
Stefan Noesen,24,NJD,RW,234,13.32,45,53,98,421,NA,NA,-0.422,-3.1900000000000004,2018,1
Stefan Persson,23,NYI,D,622,0,52,317,369,786,NA,NA,0.693,14.84,1978,176
Stefan Ustorf,22,WSH,RW,48,0,7,10,17,39,NA,NA,-0.355,-0.55,1996,8
Stephen Gionta,29,NJD,RW,257,12.66,14,35,49,293,NA,NA,-1.362,-11.29,2013,-15
Stephen Johns,24,DAL,D,167,17.84,15,18,33,255,NA,NA,-0.344,-1.9800000000000002,2017,-6
Stephen Peat,21,WSH,RW,129,0,8,2,10,39,NA,NA,-0.983,-4.09,2002,-14
Stephen Weiss,25,FLA,C,673,12.12,146,250,396,1253,NA,NA,0.215,4.66,2009,-21
Steve Atkinson,22,BUF,RW,301,0,60,51,111,545,NA,NA,-0.443,-4.3100000000000005,1971,-49
Steve Baker,22,NYR,G,48,55.1,NA,NA,NA,NA,1124,0.88,0.148,0.32999999999999996,1980,NA
Steve Bernier,23,VAN,RW,577,10.99,103,115,218,938,NA,NA,-0.547,-10.19,2009,-22
Steve Bozek,21,LAK,C,641,0,164,167,331,1253,NA,NA,-0.156,-3.21,1982,-41
Steve Bégin,31,BOS,C,453,2.18,64,69,133,732,NA,NA,-0.586,-8.57,2010,-31
Steve Cardwell,21,PIT,LW,48,0,9,10,19,68,NA,NA,-0.442,-0.6799999999999999,1972,-2
Steve Carlson,24,LAK,C,52,0,9,12,21,45,NA,NA,-0.57,-0.96,1980,-7
Steve Chiasson,30,CAR,D,751,0,93,305,398,1875,NA,NA,0.691,17.91,1998,37
Steve Christoff,22,DAL,C,248,0,77,64,141,468,NA,NA,-0.135,-1.08,1980,-18
Steve Clippingdale,20,LAK,LW,16,0,1,2,3,13,NA,NA,-1.322,-0.68,1977,3
Steve Downie,22,TBL,RW,345,14.36,64,107,171,531,NA,NA,-0.173,-1.93,2010,19
Steve Dubinsky,27,CHI,C,370,0,25,45,70,421,NA,NA,-0.941,-11.22,1998,-28
Steve Duchesne,32,STL,D,1113,0,227,525,752,2542,NA,NA,1.37,52.59,1998,89
Steve Durbano,21,STL,D,219,0,13,59,72,332,NA,NA,0.069,0.5199999999999998,1973,-22
Steve Dykstra,23,BUF,D,208,0,8,32,40,155,NA,NA,-0.78,-5.59,1986,-20
Steve Eminger,25,FLA,D,468,10.27,19,78,97,289,NA,NA,-0.608,-9.8,2009,-38
Steve Gainey,27,ARI,LW,20,0,0,1,1,11,NA,NA,-1.306,-0.84,2006,-3
Steve Gatzos,20,PIT,RW,83,0,15,18,33,135,NA,NA,-0.69,-1.85,1982,-24
Steve Gotaas,20,PIT,C,48,0,6,9,15,45,NA,NA,-0.876,-1.35,1988,-12
Steve Graves,22,EDM,C,33,0,5,4,9,33,NA,NA,-0.809,-0.86,1987,10
Steve Guenette,22,PIT,G,30,55.5,NA,NA,NA,NA,788,0.88,0.558,0.88,1988,NA
Steve Guolla,25,SJS,C,198,0,39,45,84,291,NA,NA,-0.069,-0.45,1999,-23
Steve Heinze,28,BOS,RW,694,0,178,158,336,1415,NA,NA,0.308,6.8999999999999995,1998,-20
Steve Jensen,20,DAL,LW,438,0,113,107,220,799,NA,NA,-0.071,-1,1976,-125
Steve Kariya,22,VAN,LW,62,0,9,17,26,63,NA,NA,-0.14,-0.28,2000,8
Steve Kasper,19,BOS,C,821,0,177,291,468,1267,NA,NA,-0.27,-7.15,1981,-57
Steve Kelly,21,EDM,C,127,0,8,11,19,73,NA,NA,-1.036,-4.25,1998,-34
Steve Konowalchuk,25,WSH,LW,789,0,171,225,396,1421,NA,NA,0.213,5.43,1998,69
Steve Konroyd,20,CGY,D,890,0,41,195,236,1231,NA,NA,-0.258,-7.8999999999999995,1982,24
